"Eo","Mo","theta","ts","d1","d2","rho_h","rho_l","invN","dh","dr","de","name","xml","g","mu_h","mu_l","Viscosity_h","Viscosity_l","GravitationY","sigma"
10,1e-06,15,12000,128,64,1,0.001,177.827941003892,64,2,192,"AnnularTaylorBubble_prmSweep_10_1e-06_128_12000_15","AnnularTaylorBubble_prmSweep_10_1e-06_128_12000_15.xml",4.44444444444444e-07,0.00191849842073573,1.91849842073573e-05,0.00191849842073573,0.0191849842073573,4.44444444444444e-07,0.0001818624
20,1e-06,15,12000,128,64,1,0.001,299.069756244244,64,2,192,"AnnularTaylorBubble_prmSweep_20_1e-06_128_12000_15","AnnularTaylorBubble_prmSweep_20_1e-06_128_12000_15.xml",4.44444444444444e-07,0.00114074598603021,1.14074598603021e-05,0.00114074598603021,0.0114074598603021,4.44444444444444e-07,9.09312e-05
40,1e-06,15,12000,128,64,1,0.001,502.973371873174,64,2,192,"AnnularTaylorBubble_prmSweep_40_1e-06_128_12000_15","AnnularTaylorBubble_prmSweep_40_1e-06_128_12000_15.xml",4.44444444444444e-07,0.000678291621498957,6.78291621498957e-06,0.000678291621498957,0.00678291621498957,4.44444444444444e-07,4.54656e-05
100,1e-06,15,12000,128,64,1,0.001,1000,64,2,192,"AnnularTaylorBubble_prmSweep_100_1e-06_128_12000_15","AnnularTaylorBubble_prmSweep_100_1e-06_128_12000_15.xml",4.44444444444444e-07,0.000341162623978653,3.41162623978653e-06,0.000341162623978653,0.00341162623978653,4.44444444444444e-07,1.818624e-05
200,1e-06,15,12000,128,64,1,0.001,1681.79283050743,64,2,192,"AnnularTaylorBubble_prmSweep_200_1e-06_128_12000_15","AnnularTaylorBubble_prmSweep_200_1e-06_128_12000_15.xml",4.44444444444444e-07,0.000202856509904206,2.02856509904206e-06,0.000202856509904206,0.00202856509904206,4.44444444444444e-07,9.09312e-06
400,1e-06,15,12000,128,64,1,0.001,2828.42712474619,64,2,192,"AnnularTaylorBubble_prmSweep_400_1e-06_128_12000_15","AnnularTaylorBubble_prmSweep_400_1e-06_128_12000_15.xml",4.44444444444444e-07,0.000120619202451351,1.20619202451351e-06,0.000120619202451351,0.00120619202451351,4.44444444444444e-07,4.54656e-06
700,1e-06,15,12000,128,64,1,0.001,4303.51707065885,64,2,192,"AnnularTaylorBubble_prmSweep_700_1e-06_128_12000_15","AnnularTaylorBubble_prmSweep_700_1e-06_128_12000_15.xml",4.44444444444444e-07,7.92753039844275e-05,7.92753039844275e-07,7.92753039844275e-05,0.000792753039844275,4.44444444444444e-07,2.59803428571429e-06
10,1e-04,15,12000,128,64,1,0.001,56.2341325190349,64,2,192,"AnnularTaylorBubble_prmSweep_10_1e-04_128_12000_15","AnnularTaylorBubble_prmSweep_10_1e-04_128_12000_15.xml",4.44444444444444e-07,0.0060668246969609,6.06682469696091e-05,0.0060668246969609,0.060668246969609,4.44444444444444e-07,0.0001818624
20,1e-04,15,12000,128,64,1,0.001,94.5741609003176,64,2,192,"AnnularTaylorBubble_prmSweep_20_1e-04_128_12000_15","AnnularTaylorBubble_prmSweep_20_1e-04_128_12000_15.xml",4.44444444444444e-07,0.00360735554755007,3.60735554755007e-05,0.00360735554755007,0.0360735554755007,4.44444444444444e-07,9.09312e-05
40,1e-04,15,12000,128,64,1,0.001,159.05414575341,64,2,192,"AnnularTaylorBubble_prmSweep_40_1e-04_128_12000_15","AnnularTaylorBubble_prmSweep_40_1e-04_128_12000_15.xml",4.44444444444444e-07,0.00214494644174554,2.14494644174554e-05,0.00214494644174554,0.0214494644174554,4.44444444444444e-07,4.54656e-05
